,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),muon kF (MeV),Lambda kF (MeV),Neutron frac,Proton frac,electron frac,muon frac,Lambda frac
565,5.92000000,67.66109398,-16.94986415,86.84323193,-10.12245774,464.04979960,311.69854137,258.18167675,235.57613591,423.31559370,0.48493137,0.14695719,0.08351467,0.06344252,0.36811144
566,5.93000000,67.71054098,-16.95326483,86.96650074,-10.15907889,464.11761106,311.80089016,258.25968095,235.66162268,423.82547145,0.48432588,0.14685393,0.08344943,0.06340451,0.36882019
567,5.94000000,67.75991090,-16.95665344,87.08974299,-10.19572218,464.18523603,311.90297268,258.33748403,235.74688387,424.33443237,0.48372190,0.14675075,0.08338426,0.06336649,0.36952736
568,5.95000000,67.80920394,-16.96003001,87.21295876,-10.23238753,464.25267520,312.00478983,258.41508666,235.83192026,424.84248075,0.48311943,0.14664763,0.08331915,0.06332847,0.37023295
569,5.96000000,67.85842030,-16.96339462,87.33614811,-10.26907490,464.31992922,312.10634248,258.49248951,235.91673262,425.34962086,0.48251846,0.14654457,0.08325412,0.06329045,0.37093696
570,5.97000000,67.90756015,-16.96674731,87.45931113,-10.30578423,464.38699879,312.20763153,258.56969323,236.00132172,425.85585690,0.48191900,0.14644159,0.08318916,0.06325243,0.37163941
571,5.98000000,67.95662369,-16.97008813,87.58244787,-10.34251544,464.45388455,312.30865786,258.64669848,236.08568833,426.36119307,0.48132103,0.14633867,0.08312427,0.06321440,0.37234030
572,5.99000000,68.00561110,-16.97341714,87.70555841,-10.37926849,464.52058717,312.40942235,258.72350591,236.16983319,426.86563353,0.48072455,0.14623582,0.08305945,0.06317637,0.37303963
573,6.00000000,68.05452257,-16.97673439,87.82864282,-10.41604332,464.58710731,312.50992586,258.80011618,236.25375708,427.36918240,0.48012955,0.14613304,0.08299470,0.06313834,0.37373741
574,6.01000000,68.10335828,-16.98003993,87.95170117,-10.45283987,464.65344562,312.61016927,258.87652992,236.33746073,427.87184378,0.47953602,0.14603033,0.08293002,0.06310030,0.37443365
575,6.02000000,68.15211842,-16.98333380,88.07473352,-10.48965807,464.71960275,312.71015344,258.95274779,236.42094490,428.37362173,0.47894397,0.14592768,0.08286541,0.06306227,0.37512835
576,6.03000000,68.20080318,-16.98661607,88.19773996,-10.52649788,464.78557935,312.80987923,259.02877042,236.50421034,428.87452028,0.47835338,0.14582510,0.08280087,0.06302423,0.37582152
