,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),phi field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Lambda kF (MeV),Sigma_0 kF (MeV),Neutron frac,Proton frac,electron frac,Lambda frac,Sigma_0 frac
362,3.89000000,55.32431879,-17.38901441,60.55523450,-3.74210159,447.15472007,261.86439651,261.86439651,303.81377954,0.00000000,0.66028598,0.13261358,0.13261358,0.20710044,0.00000000
363,3.90000000,55.39458979,-17.39868441,60.68481123,-3.77346592,447.28203671,262.04247024,262.04247024,304.66022143,0.00000000,0.65915566,0.13254357,0.13254357,0.20830077,0.00000000
364,3.91000000,55.46472705,-17.40831110,60.81433710,-3.80487262,447.40886831,262.21996395,262.21996395,305.50312007,0.00000000,0.65802930,0.13247341,0.13247341,0.20949729,0.00000000
365,3.92000000,55.53473103,-17.41789478,60.94381241,-3.83632146,447.53521819,262.39688111,262.39688111,306.34251469,0.00000000,0.65690687,0.13240310,0.13240310,0.21069002,0.00000000
366,3.93000000,55.60460224,-17.42743574,61.07323743,-3.86781220,447.66108960,262.57322516,262.57322516,307.17844381,0.00000000,0.65578837,0.13233264,0.13233264,0.21187898,0.00000000
367,3.94000000,55.67434113,-17.43693427,61.20261244,-3.89934463,447.78648575,262.74899947,262.74899947,308.01094527,0.00000000,0.65467378,0.13226204,0.13226204,0.21306418,0.00000000
368,3.95000000,55.74394818,-17.44639067,61.33193771,-3.93091851,447.91140983,262.92420741,262.92420741,308.84005626,0.00000000,0.65356307,0.13219129,0.13219129,0.21424564,0.00000000
369,3.96000000,55.81342385,-17.45580522,61.46121351,-3.96253361,448.03586498,263.09885227,263.09885227,309.66581331,0.00000000,0.65245622,0.13212040,0.13212040,0.21542337,0.00000000
370,3.97000000,55.88276860,-17.46517820,61.59044011,-3.99418972,448.15985430,263.27293732,263.27293732,310.48825231,0.00000000,0.65135322,0.13204938,0.13204938,0.21659740,0.00000000
371,3.98000000,55.95198290,-17.47450990,61.71961775,-4.02588662,448.28338085,263.44646580,263.44646580,311.30740855,0.00000000,0.65025405,0.13197822,0.13197822,0.21776773,0.00000000
372,3.99000000,56.02106721,-17.48380060,61.84874672,-4.05762410,448.40644766,263.61944090,263.61944090,312.12331670,0.00000000,0.64915869,0.13190694,0.13190694,0.21893438,0.00000000
373,4.00000000,56.09002196,-17.49305055,61.97782725,-4.08940193,448.52905772,263.79186577,263.79186577,312.93601086,0.00000000,0.64806711,0.13183552,0.13183552,0.22009737,0.00000000
374,4.01000000,56.15884762,-17.50226004,62.10685960,-4.12121992,448.65121399,263.96374355,263.96374355,313.74552453,0.00000000,0.64697931,0.13176397,0.13176397,0.22125672,0.00000000
375,4.02000000,56.22754462,-17.51142934,62.23584403,-4.15307784,448.77291939,264.13507730,264.13507730,314.55189066,0.00000000,0.64589526,0.13169231,0.13169231,0.22241244,0.00000000
376,4.03000000,56.29611340,-17.52055870,62.36478078,-4.18497551,448.89417681,264.30587009,264.30587009,315.35514165,0.00000000,0.64481494,0.13162052,0.13162052,0.22356454,0.00000000
377,4.04000000,56.36455442,-17.52964839,62.49367008,-4.21691270,449.01498909,264.47612493,264.47612493,316.15530937,0.00000000,0.64373834,0.13154861,0.13154861,0.22471305,0.00000000
